タイトル,五十音,作者(原作),出版,掲載紙,発行年,持ち欠け,掲載期間,サイズ,各刊発行年　版
mono,あ,あfろ,芳文社,きららコミックス,2018/11/9,1巻のみ,,A5,1: 2018/11/9 1刷 帯付き
中空知防衛軍,あ,あさりよしとお,徳間書店,アニメージュコミックス,1989/2/25,,,A5,1刷 超巨大ロボ 北海道に現る<br>復活!無節操超超巨大戦闘兵器
地球防衛少女イコちゃん1,あ,あさりよしとお,角川書店,コンプコミックスDX,1990/9/25,,,A5,1990/11/5 2版1刷
まんがサイエンス,あ,あさりよしとお,学研,ノーラコミックス,1991/7/6,12巻のみ欠け,,A5,1: 1994/11/6 3刷<br>2: 1992/6/6 1刷 帯付き<br>3: 1993/8/6 1刷<br>4: 1994/9/6 1刷<br>5: 1996/2/8 1刷<br>6: 1998/3/6 1刷<br>7: 2001/1/1 刷<br>8: 2007/12/1 2刷<br>9: 2004/9/3 1刷 帯ハガキ付き<br>10: 2007/1/7 1刷 帯ハガキ付き<br>11: 2008/4/10 1刷  ハガキ付き<br>13: 2011/9/14 1刷  ハガキ付き<br>14: 2013/9/10 1刷  ハガキ付き
HAL はいぱあ あかでみっく らぼ,あ,あさりよしとお,ワニブックス,コミックガム,2000/12/31,全2巻あり,98年12月～01年12月,A5,1: 2000/12/31 1刷 帯付き<br>2: 2002/2/10 1刷 帯付き
荒野の蒸気娘,あ,あさりよしとお,ワニブックス,コミックガム,2006/2/10,全4巻あり,,A5,1: 2006/2/10 1刷<br>2: 2006/12/10 1刷<br>3: 2007/8/10 1刷 ハガキ広告付き<br>4: 2008/6/10 1刷 ハガキ広告付き
くわがたツマミ,あ,あさりよしとお,JIVE,CRコミックスDX,2008/11/15,,,A5,1刷
なつのロケット,あ,あさりよしとお,白泉社,楽園コミックス,2015/12/8,,,A5,1刷
なつのロケット団,あ,あさりよしとお,白泉社,楽園コミックス,2016/6/5,全2巻あり,,A5,1: 2016/6/5 1刷 帯付き<br>2: 2021/12/5 1刷 帯付き
IS COLLECTION,あ,あさりよしとお他,白夜書房,白夜コミックス,1984/11/1,,,A5,1刷 帯付き超巨大ロボ 北海道に現る
ぱあてぃおぶ麗夢,あ,あさりよしとお他,ラポート,ラポートコミックス,1991/1/20,,,A5,1刷
あずまんが大王,あ,あずまきよひこ,メディアファクトリー,電撃コミックスEX,2000/2/25,全4巻あり,,A5,1: 2002/4/30 31刷 帯付き<br>2: 2002/6/25 23刷 帯付き<br>3: 2002/6/25 11刷 帯付き<br>4: 2002/7/20 2刷 帯付き
大阪万博,あ,あずまきよひこ,メディアファクトリー,電撃コミックスEX,2009/10/27,,,A5,1刷 帯付き
スレイヤーズ,あ,あらいずみるい(神坂一),角川書店,ドラゴンコミックス,1995/7/1,,,A5,1刷 帯付き
