タイトル,五十音,サークル名,発行者,発行年,ジャンル作品,ジャンル癖,サイズ
ろり＆ふた8 伊58&呂500,あ,Achoromic,夢双月,2017/5/1,艦これ,ふたなり,B5
ろり＆ふた10 暁&響,あ,Achoromic,夢双月,2018/1/1,艦これ,ふたなり,B5
ろり＆ふた11,あ,Achoromic,夢双月,2018/8/13,プリズマイリヤ,ふたなり,B5
ろり＆ふた13,あ,Achoromic,夢双月,2020/8/2,アイドルマスター,ふたなり,B5
ろり＆ふた12,あ,Achoromic,夢双月,"	2019/01/01",小林さんちのメイドラゴン,ふたなり,B5
教師ひとり、生徒ひとり。,あ,Asunaro Neat.,ろんな,2021/12/31,オリジナル,-,B5
TSロリおじさんの冒険 オナニー編,あ,Asunaro Neat.,ろんな,2022/12/31,オリジナル,-,B5
TSロリおじさんの冒険閑話 ふわふわドーム編,あ,Asunaro Neat.,ろんな,2023/8/13,オリジナル,-,B5
TSロリおじさんの冒険閑話 ハンドメイドの章,あ,Asunaro Neat.,ろんな,2023/12/31,オリジナル,-,B5
TSロリおじさんの冒険 セックス編準備号,あ,Asunaro Neat.,ろんな,2024/8/12,オリジナル,-,B5
TSロリおじさんの冒険閑話集,あ,Asunaro Neat.,ろんな,2024/8/12,オリジナル,-,B5
マミさんだけ生えていない本,あ,アバランチEX,アバラ丼,2022/12/31,まどかマギカ,ふたなり,B5
かにかまxぷにあなxガン掘りライフ,あ,あらと屋,あらと安里,2021/4/30,オリジナル,ふたなり,B5
こいしお姉ちゃんにまかせなさい,あ,あるたな,雉派(ちぱ),2017/5/7,東方,-,B5
慰め上手のこいしちゃん,あ,あんみつよもぎ亭,みちきんぐ,2017/8/11,東方,-,B5
奥野田が精通上手で酔魔せん,あ,あんみつよもぎ亭,みちきんぐ,2021/12/31,東方,-,B5
ロマンチック・ランサー,あ,愛味亭,愛味亭うまみ,2018/11/23,FGO,ふたなり,B5
このあとふたなり娘にめちゃくちゃ逆ア〇ルされる,あ,愛味亭,愛味亭うまみ,2019/12/30,オリジナル,ふたなり,B5
ハリガネモガミン,あ,暗黒暴走組,アイヌマニア,2019/8/12,艦これ,もがみん,B5
の裏,あ,新井カズキ,新井カズキ,2016/12/31,ガールズアンドパンツァー,ふたなり,B5
ふたなりっこエンジェルオーバーキル,あ,青葉Q魔洞,双葉淀夢,2017/5/3,オリジナル,ふたなり,B5
ふたまん! 放課後射精スケッチ,あ,青葉Q魔洞,双葉淀夢,2017/11/11,オリジナル,ふたなり,B5
パンツァーハイのおさめかた3,あ,青葉Q魔洞,双葉淀夢,2017/12/31,ガールズアンドパンツァー,ふたなり,B5
ふたまん! 2 真夜中のふたなりガール ,あ,青葉Q魔洞,双葉淀夢,2018/6/9,オリジナル,ふたなり,B5
ふたなりっこサキュバスラブリーデイズ,あ,青葉Q魔洞,双葉淀夢,2018/8/12,オリジナル,ふたなり,B5
パンツァーハイのおさめかた4,あ,青葉Q魔洞,双葉淀夢,2018/11/23,ガールズアンドパンツァー,ふたなり,B5
裏スペクタクル,あ,赤い除雪車,おじポン,2024/5/10,艦これ,-,A5
