タイトル,販売,開発,発売日,対応,状態
アフターバースト,,,,,
アナザバイブル,,,,,
アレサ2,,,,,
あやかしの城,,,,,
ボンバーボーイ,,,,,
ちびまる子ちゃん2 デラックスまる子ワールド,,,,,
魂斗羅,,,,,
コスモタンク,,,,,
デビルチルドレン 黒の書,,,,共通,
ドンキーコング2001,,,,カラー専用,
ドンキーコング,,,,,
ダブル役満2,,,,,
ドラゴンクエストモンスターズ,,,,,
風来のシレン 月影村の怪物,,,,,
ゲームボーイギャラリー,,,,,
ゲームボーイギャラリー2,,,,,
ゲームボーイギャラリー3,,,,,
SDガンダムG-ARMS,,,,,
SDガンダム外伝ラクロアンヒーローズ,,,,,
ドラゴンクエスト3,,,,カラー専用,
ゴッドメディスン復刻版,,,,共通,
ヘッドオン,,,,,
平安京エイリアン,,,,,
ハイパーロードランナー,,,,,
カエルのために鐘は鳴る,,,,,
星のカービィ2,,,,,
カービィのピンボール,,,,,
コナミGBコレクション,,,,,
コナミGBコレクション2,,,,,
熱血硬派くにおくん番外乱闘編,,,,,
女神転生外伝ラストバイブル,,,,,
リトルマスター,,,,,
ロックンチェイス,,,,,
マクロス7 銀河のハートを奮わせろ!!,,,,カラー専用,
スーパーマリオランド2 6つの金貨,,,,,
メトロイド2,,,,,
燃えろプロ野球 ホームラン競争,,,,共通,
オセロワールド,,,,,
パロディウスだ!,,,,,
ペンギンBOY,,,,,
ペンギンランド,,,,,
ポケットキング,,,,共通,
ポケットモンスター青,,,,,
ポケットモンスタークリスタル,,,,カラー専用,
ポケットモンスター金,,,,共通,
ポケットモンスター緑,,,,,
ポケットモンスター赤,,,,,
ポケットモンスターピカチュウ,,,,,
バズニック,,,,,
クイックス,,,,,
リペアちゃんの修理大作戦GB,,,,共通,
RPGツクールGB,,,,カラー専用,
R-TYPE DX,,,,共通,
R-TYPE,,,,,
魔界塔士Sa・Ga,,,,,
Sa・Ga2,,,,,
SD戦国伝 国盗り合戦,,,,,
SD戦国伝2 天下統一編,,,,,
SD戦国伝3 地上最強編,,,,,
聖剣伝説,,,,,
セレクション,,,,,
戦国忍者くん,,,,,
シャンティ,,,,カラー専用,
ソーラーストライカー,,,,,
倉庫番2,,,,,
スペースインベーダー,,,,,
スーパーマリオランド,,,,,
第二次スーパーロボット大戦G,,,,,
語楽王TANGO,,,,共通,
天神怪戦,,,,,
テトリス,,,,,
ベリウス2,,,,,
ワリオランド3,,,,,
爆裂戦士ウォーリア,,,,,
ヨッシーのたまご,,,,,
ゼルダの伝説 夢を見る島DX,,,,共通,
