タイトル,五十音,作者,出版,掲載紙,原作,発行年,持ち欠け,掲載期間,サイズ,各刊発行年　版
ポジティブ先生 石黒正数短編集2,い,石黒正数,徳間書店,コミックフラッパー他,-,2010/12/1,,2002/8～2010/11,B6,1刷 帯付き
響子とお父さん,い,石黒正数,徳間書店,COMICリュウ,-,2010/4/10,,2008/11～2010/4,B6,1刷
探偵奇譚 石黒正数短編集,い,石黒正数,徳間書店,コミックフラッパー他,-,2008/2/1,,2003/8～2007/8,B6,1刷 広告付き
クロシオカレント,こ,こかむも,エンターブレイン,青騎士コミックス,,2022/8/20,全巻有,,B6,3巻店舗特典カード有り
それいけ!!ちゃんぽん,そ,そうま竜也,ワニマガジン,-,-,1993/8/1,全巻有,-,B6,1: 1994/4/20 8刷<br>2: 1994/3/1 1刷
聖なる行水,ち,ぢたま某,ワニマガジン,-,-,1996/6/1,,-,B6,2000/1/15 11刷
かきすて!,つ,艶々,リイド社,SPコミックス,,2023/3/27,1巻,,B6,
来るべき世界,て,手塚治虫,講談社,手塚治虫漫画全集,,1977/9/20,全巻有,,B6,1: 1990/8/23 6刷<br>2: 1990/8/23 6刷
ガールズ&パンツァーリボンの武者,の,野上武志,メディアファクトリー,コミックフラッパー,-,2015/2/28,1～12巻,2014/10～,B6,1: 2016/2/8 5刷 帯付き<br>2: 2016/2/8 4刷<br>3: 2016/3/11 4刷<br>4: 2016/4/30 1刷<br>5: 2016/9/30 1刷<br>6: 2017/2/23 1刷<br>7: 2017/7/22 1刷 帯付き<br>8: 2017/12/22 1刷<br>9: 2018/5/23 1刷 帯付き<br>10: 2018/10/23 1刷 帯付き<br>10: 2019/3/23 1刷<br>10: 2019/8/23 1刷 帯付き
苺ましまろ,は,ばらスィー,メディアワークス,電撃大王,-,2003/2/15,1～9巻続刊,2001/3～,B6,1: 2003/9/20 6刷 帯付き<br>2: 2005/2/20 5刷<br>3: 2004/4/15 1刷 帯付き<br>4: 2005/6/15 1刷 帯ハガキ広告付き<br>5: 2007/5/15 1刷 帯ハガキ広告付き<br>6: 2009/2/07 1刷 帯付き<br>7: 2013/3/27 1刷 帯広告付き<br>8: 2017/11/27 1刷 帯付き<br>9: 2023/2/27 1刷 帯付き
ロッテのおもちゃ,は,葉賀ユイ,メディアワークス,電撃マオウ,-,2008/3/15,全巻有,2008/07～2014/2,B6,1: 2008/3/15 1刷 カード付き<br>2: 2010/11/26 7刷<br>3: 2010/5/20 4刷<br>4: 2011/1/21 5刷<br>5: 2010/11/27 1刷 広告付き<br>6: 2011/5/27 1刷 帯広告付き<br>7: 2012/6/27 1刷 帯広告付き<br>8: 2013/2/27 1刷 帯広告付き<br>9: 2014/1/27 1刷 帯広告付き
Dears,ひ,PEACH-PIT,メディアワークス,電撃コミックガオ!,-,2002/4/15,全巻有,2001/10～2005/11,B6,1: 2003/9/20 6刷<br>2: 2002/10/15 1刷<br>3: 2004/5/30 4刷<br>4: 2003/10/15 1刷<br>5: 2004/8/20 5刷<br>6: 2004/9/15 1刷<br>7: 2005/4/15 1刷<br>8: 2006/1/15 1刷
上伊那ぼたん酔へる姿は百合の花,へ,塀,秋田書店,ヤングチャンピオン,-,,1～3、5巻有,,B6,5巻店舗特典カード有り
ライオンMAN,ま,真弓大介,ワニマガジン,-,-,1993/8/1,全巻有,-,B6,1: 1993/8/1 1刷<br>2: 1994/2/1 1刷
ひろみちゃん奮戦記 愛蔵版,み,MEE,蒼竜社,キャンディータイム,-,1998/9/30,3巻のみ有り,-,B6,3: 1998/9/30 1刷
気になるお隣さん,み,MEE,ワニマガジン,-,-,1991/9/1,,-,B6,1刷
小鉄の大冒険,み,MEE,ワニマガジン,-,-,1992/7/1,全巻有,-,B6,1: 1992/12/1 21刷<br>2: 1993/5/30 15刷<br>3: 1993/11/20 12刷<br>4: 1994/11/1 1刷<br>5: 1996/1/1 1刷<br>6: 1997/7/15 2刷<br>7: 1998/3/1 1刷<br>8: 1999/8/1 1刷<br>9: 2001/7/1 1刷
燃えよ鉄人,み,MEE,ワニマガジン,-,-,1989/1/1,全巻有,-,B6,1: 1989/1/15 5刷<br>2: 1989/2/1 1刷<br>3: 1989/12/1 1刷<br>4: 1990/11/1 1刷
ブルーアーカイブゲーム開発部だいぼうけん,み,水あさと,スクエアエニックス,ガンガンオンライン,-,2024/6/12,1～2巻,,B6,1、2巻メロブ特典有り
となりの席のヤツがそういう目で見てくる,も,mmk,小学館,サンデーうぇぶり,,2024/10/15,1巻,,B6,1巻メロブ特典有り
エルフを狩るモノたち,や,矢上裕,メディアワークス,電撃コミックガオ!,-,1995/7/15,全巻有,1995/1～2003/1,B6,1: 1996/12/20 11刷<br>2: 1997/11/20 16刷<br>3: 1997/11/20 14刷<br>4: 1997/11/20 11刷<br>5: 1997/12/25 8刷<br>6: 1997/11/20 4刷<br>7: 1997/10/15 1刷<br>8: 1998/1/15 1刷<br>9: 1998/5/15 1刷<br>10: 1998/10/15 1刷<br>11: 1999/2/15 1刷<br>12: 1999/4/15 1刷<br>13: 1999/9/15 1刷 帯付き<br>14: 2000/1/15 1刷 帯付き<br>15: 2000/7/15 1刷 帯付き<br>16: 2001/1/15 1刷 帯ハガキ付き<br>17: 2001/7/15 1刷 ハガキ広告付き<br>18: 2002/1/15 1刷 帯付き<br>19: 2002/7/15 1刷 帯ハガキ付き<br>20: 2003/1/15 1刷 帯広告付き<br>21: 2003/4/15 1刷 帯ハガキ広告付き
エルフを狩るモノたちDX,や,矢上裕,メディアワークス,電撃コミックガオ!,-,1996/6/15,,"1994/3～1994/11,1995/8増刊",B6,1996/12/20 7刷
エルフを狩るモノたちリターンズ,や,矢上裕,メディアワークス,電撃コミックガオ!,-,2008/3/15,,2007/11～2008/3,B6,1刷
日替わり矢上ランド 傑作短編集2,や,矢上裕,メディアワークス,コミックコンプ,-,1998/12/15,,1991/6～1992/7,B6,1刷
北の国からこんにちは,ゆ,ゆすら(山桜桃),ワニマガジン,-,-,1991/2/1,,-,B6,1992/5/1 16刷
ヤンマガ極艶絵巻物,ん,ヤンマガ,講談社,,,2023/8/15,,,B6,
ヤンマガ冬のドキドキ漫画傑作選,ん,ヤンマガ,講談社,,,2023/12/30,,,B6,
お兄ちゃんはおしまい公式アンソロ,ん,-,一迅社,,,,5巻のみ有り,,B6,5巻店舗特典カード有り
