タイトル,発行年,サークル名,発行者,掲載タイトル,掲載タイトル,掲載タイトル,掲載タイトル,掲載タイトル
中空知防衛軍,1983/8/7,スタジオハイパーナイト,あさりよしとお,-,-,-,-,-
грибЯД,1983/10/9,-,あさりよしとお,-,-,-,-,-
AWAKEほとんど完全設定資料集,1983/12/7,スタジオアオーク,あさりよしとお,-,-,-,-,-
中空知防衛軍II ホゲラの逆襲,1983/12/25,スタジオハイパーナイト,あさりよしとお,-,-,-,-,-
「ま」,1984/5/27,スタジオアオーク,あさりよしとお,赤色一号はあさりよしとお,-,-,-,-
スタジオブライフ機関誌アルフ,1984/5/28,スタジオブライフ,-,-,-,-,-,-
ALL THAT HOGERA,1984/8/19,-,あさりよしとお,-,-,-,-,-
ZZ,1985/8/11,スタジオアオーク,あさりよしとお,-,-,-,-,-
GSPOTII,1985/8/14,スタジオアオーク,あさりよしとお,-,-,-,-,-
とろろいも7,1987/7/27,とろろいも,とろろいも1号,-,-,-,-,-
LUM IS OVER!,1987/12/24,STUDIO GZZY,森野うさぎ,-,-,-,-,-
HITPOINT,1989/3/26,スタジオアオーク,あさりよしとお,-,-,-,-,-
MAGICAL EMI HYPERUGIKINTOKI,1989/8/9,STUDIO GZZY,森野うさぎ,-,-,-,-,-
躍動休刊號,1990/12/24,新世界壮健社,あさりよしとお,-,-,-,-,-
スーパーテクノロリア,1991/8/16,ダミーサークル,あさりよしとお,-,-,-,-,-
別冊士魂「キ」號演習,1991/12/29,T2UNIT教導団,TANK2ROW,-,-,-,-,-
ヴィスタフカ2,1991/12/30,黒潮商会,あさりよしとお,-,-,-,-,-
躍動廃刊號,1991/12/30,ダミーサークル,あさりよしとお,-,-,-,-,-
躍動復刊號,1992/8/16,ダミーサークル,あさりよしとお,-,-,-,-,-
ヴィスタフカ3,1992/8/16,黒潮商会,あさりよしとお,-,-,-,-,-
ヴィスタフカ別冊エロい絵,1993/8/16,新世界壮健社,あさりよしとお,-,-,-,-,-
えんぴつHまんが,1994/5/5,ダミーサークル残党,あさりよしとお,-,-,-,-,-
おいら宇宙の炭鉱夫予告編,1994/12/30,新世界壮健社,あさりよしとお,-,-,-,-,-
新せん組三上!スパッツ娘の逆襲18禁,1995/8/20,うたってゴー(H.I.T.工房),千葉治郎,-,-,-,-,-
がっぽん合本,1995/12/30,新世界壮健社,あさりよしとお,えんぴつHまんが,よこちん!!,おいら宇宙の炭鉱夫,えんぴつ描きH(すけべ)まんが,-
ぼくのかんがえたしと,1996/8/25,新世界壮健社,あさりよしとお,-,-,-,-,-
えんぴつ描きエロまんが1996暮れの号,1996/12/29,新世界壮健社,あさりよしとお,-,-,-,-,-
ダミーサークル一代記,1998/8/16,ダミーサークル,あさりよしとお,本なんかでるわけないじゃん,ケロヨン,キミしっかり,-,-
えんぴつ描きエロまんが(黄),1998/12/26,新世界壮健社,あさりよしとお,-,-,-,-,-
ヴィスタフカ4.5,1999/5/16,新世界壮健社,あさりよしとお,-,-,-,-,-
えんぴつ描きエロまんぐわ1999夏の号,1999/8/15,新世界壮健社,あさりよしとお,-,-,-,-,-
えんぴつ描きエロまんが(青),1999/12/26,新世界壮健社,あさりよしとお,-,-,-,-,-
えんぴつ描きエロまんが2000夏,2000/8/13,新世界壮健社,あさりよしとお,-,-,-,-,-
げんしけん「同人誌」,2005/6/23,講談社,アフタヌーン,-,-,-,-,-
萌えよ!戦車予備校夏期講習号,2007/8/17,日本晴,あさりよしとお,-,-,-,-,-
モテあそびにいくヨ!りたーんず,2009/12/29,日本晴,あさりよしとお,-,-,-,-,-
