タイトル,販売,開発,発売日,対応,状態
3x3EYES 三只眼變成,,,,CD-ROM2,
ドラゴンハーフ,,,,CD-ROM2,
ドラゴンナイト2,,,,CD-ROM2,
グラディウスⅡ,,,,CD-ROM2,
スターパロジャー,,,,CD-ROM2,
改造町人シュビビンマン3,,,,CD-ROM2,
サイドアームSPECIAL,,,,CD-ROM2,
スナッチャー,,,,CD-ROM2,
ウィザードリィ3&4,,,,CD-ROM2,
イース1&2,,,,CD-ROM2,
クイズDE学園祭,,,,CD-ROM2,
1943改,,,,huカード,
カダッシュ,,,,huカード,
大旋風,,,,huカード,
ドラゴンスピリット,,,,huカード,
ダンジョンエクスプローラー,,,,huカード,
宇宙戦艦ゴモラ,,,,huカード,
イメージファイト,,,,huカード,
カトちゃんケンちゃん,,,,huカード,
奇々怪界,,,,huカード,
クラックス,,,,huカード,
究極タイガー,,,,huカード,
モトローダー2,,,,huカード,
熱血高校ドッジボール部PC番外編,,,,huカード,
オーダイン,,,,huカード,
バズニック,,,,huカード,
R-TYPE1,,,,huカード,
R-TYPE2,,,,huカード,
沙羅曼蛇,,,,huカード,
スペースハリアー,,,,huカード,
システムカードV3,,,,huカード,
天の声バンク,,,,huカード,
ヴェイグス,,,,huカード,
ワルキューレの伝説,,,,huカード,
ワンダーモモ,,,,huカード,
ワールドジョッキー,,,,huカード,
妖怪道中記,,,,huカード,
P-47,,,,huカード,
ゴモラスピード,,,,huカード,
