タイトル,発行,発売日,-,状態
Purizm Vol.12 休刊号 ぼざろ,一迅社,2022/12/1,,
V-ZONE_創刊号,少年出版社,1985/10/1,,
アニメージュ_2018_01 宝石の国,徳間書店,2017/12/10,,
アニメック_1986_02 ダーティペア,ラポート,1986/1/1,,
月刊PASH!_2017_12 宝石の国,主婦と生活社,2017/11/8,,
ニュータイプ,角川書店,毎月10日,2019/7月号～2024/3月号欠無し,
娘TYPE_2016_06 ストパン ブレパン,角川書店,2016/4/30,,
娘TYPE_2016_07 はいふり,角川書店,2016/5/30,,
娘TYPE_2016_11 艦これ,角川書店,2016/9/30,,クリアファイル付き
娘TYPE_2017_01 ブレパン,角川書店,2016/11/30,,クリアファイル付き
娘TYPE_2017_07 ブレパン,角川書店,2017/5/30,,クリアファイル付き
娘TYPE_2017_11 艦これ,角川書店,2017/9/30,,クリアファイル付き
娘TYPE_2018_01 ごちうさ,角川書店,2017/11/30,,クリアファイル冊子付き
メガミマガジン_2016_07 ごちうさ,学研,2016/5/30,,
メガミマガジン_2020_09 ストブラ,学研,2020/7/30,,メガミマガジンRX Vol.9.5付
メガミマガジン_2024_03 まほあこ,学研,2024/1/30,,
メガミマガジンDELUXE Vol.2,学研,2004/1/30,,
メガミマガジンDELUXE Vol.38,学研,2023/10/24,,
メガミマガジンRX Vol.11,学研,2022/10/31,,ポスター付き
メガミマガジンRX Vol.12,学研,2021/12/14,,ポスター付き
メガミマガジンRX Vol.13,学研,2023/9/28,,ポスター付き
リスアニ! 2023 MAR ぼざろ,ソニーミュージック,2023/3/23,,シール付き
アニメージュ実用版'87イラストカレンダー,徳間書店,1986/12/10,あさりよしとお,
フェブリ_2018_02 ガルパン最終章,一迅社,2018/2/1,,
フェブリ_2019_01 若おかみ,一迅社,2019/1/1,,
